Index,Smiles
864,CC(CN)C(O)=O
865,CCC(N)C(O)=O
866,C=CC=NNC=O
867,C=CC(=N)NC=O
868,C=CCNNC=O
869,CC=CN(N)C=O
870,CC(=C)N(N)C=O
871,CC(C)=NNC=O
872,CC(C)N(N)C=O
873,CC(C)NNC=O
874,CC(CN)NC=O
875,CCC=NNC=O
876,CCC(=N)N(C)O
877,CCC(=N)NC=O
878,CCCN(N)C=O
879,CCCNNC=O
880,CCC(=N)NOC
881,CC(C=NO)C#C
882,CC(CN)OC=C
883,CCC(=NO)C#C
884,CC=CN(O)C=N
885,CC(=C)N(O)C=N
886,CC(C=NO)C#N
887,CC(C)N(O)C=N
888,CCC(=NO)C#N
889,CCCN(O)C=N
890,C=CC=NOC=O
891,CC=CN(O)C=O
892,CC(=C)N(O)C=O
893,CC(C)=NOC=O
894,CC(C)N(O)C=O
895,CC(CN)OC=O
896,CCC=NOC=O
897,CCCN(O)C=O
898,CC(CN)ON=C
899,C=C(C=O)C1CN1
900,C=CC(=O)C1CN1
901,CC(C=O)C1CN1
902,CC(C)(O)C1CN1
903,CC(CO)C1CN1
904,CCC(=O)C1CN1
905,CCC(O)C1CN1
906,CCCOCCN
907,C=CC(=O)CC#N
908,C=CCOCC#N
909,C#CCOCC#N
910,CC=COCCN
911,CC=COCC#N
912,CC(=C)OCCN
913,CC(=C)OCC#N
914,CC(C=O)=CC#N
915,CC(C)OCCN
916,CC(C)(O)CCN
917,CC(C)(O)CC#N
918,CC(C)OCC#N
919,CC(CO)CCN
920,CC(CO)=CCN
921,CC(CO)=CC#N
922,CC(CO)CC#N
923,CCC(=O)C=CN
924,CCC(=O)CC#N
925,CCC(O)CCN
926,CCC(O)C(C)N
927,CCC(O)CC#N
928,CCC(OC)C#N
929,CCCOCC#N
930,CCC(=O)CNC
931,CCC(O)CNC
932,CC=COC=NN
933,CC(=C)OC=NN
934,CC(C=O)=C(N)N
935,CC(C=O)C(N)=N
936,CC(C)(O)C=NN
937,CC(C)(O)C(N)=N
938,CC(C)OC=NN
939,CC(C)OC(N)=N
940,CC(CO)C=NN
941,CC(CO)C(N)=N
942,CCC(=O)C(N)=N
943,CCC(O)C=NN
944,CCC(O)C(N)=N
945,CCC(OC)=NN
946,CCCOC=NN
947,CCCOC(N)=N
948,CC=COC=NO
949,CC(=C)OC=NO
950,CC(C=O)C=NO
951,CC(C=O)C(N)=O
952,CC(C)(O)C=NO
953,CC(C)(O)C(N)=O
954,CC(C)OC=NO
955,CC(C)OC(N)=O
956,CC(CO)C=NO
957,CC(CO)C(N)=O
958,CCC(=O)C=NO
959,CCC(=O)C(N)=O
960,CCC(O)C=NO
961,CCC(O)C(N)=O
962,CCC(OC)=NO
963,CCCOC=NO
964,CCCOC(N)=O
965,C=CC(=O)N1CC1
966,CC(C=O)N1CC1
967,CC(CO)N1CC1
968,CCC(=O)N1CC1
969,CC(C=O)N(C)C
970,CC(CO)N(C)C
971,CCC(=O)N(C)C
972,CCC(=O)NC=C
973,CCCON=CC
974,C=CC(=O)NC=N
975,C=CCONC=N
976,CC(C=O)N=CN
977,CC(C)ONC=N
978,CC(CO)NC=N
979,CCC(=O)N(C)N
980,CCC(=O)NC=N
981,CCCONC=N
982,C=CC(=O)NC=O
983,C=CCONC=O
984,CC(C)ONC=O
985,CC(CO)NC=O
986,CCC(=O)N(C)O
987,CCC(=O)NC=O
988,CCCONC=O
989,C=CC(=O)NN=C
990,CC(C=O)=NN=C
991,CC(CO)=NN=C
992,CC(CO)NN=C
993,CCC(=O)NNC
994,CCC(=O)NN=C
995,CCC(=O)NOC
996,C=CC(=O)ON=C
997,CC(CO)ON=C
998,CCC(=O)ON=C
999,CCN1CC1CO
1000,CCN1CC1C=O
1001,C=CN1CCC1=O
1002,CCN1CCC1=O
1003,CCN1CC(=O)C1
1004,CCN1CC(O)C1
1005,CCNC1CC1O
1006,CC(N)C1CC1O
1007,CC(N)C1CCO1
1008,CC(N)C1(C)CO1
1009,CCNC1COC1
1010,CC(N)C1COC1
1011,CC(N)C1OC1C
